m_B,t_RT1,T_drawH,m_C,t_RT2,T_methyl,yield
2.66,8.45,-39,3.15,121.2,-30,60.34
2.65,4.23,-39,3.15,121.2,-30,85.65
2.66,2.07,-39,3.15,121.2,-30,85.90
2.13,4.81,-39,3.15,121.2,-30,57.05
3.13,3.70,-39,3.15,121.2,-30,88.91
2.74,8.36,-15,3.15,121.2,-65,45.97
2.86,8.47,-19.5,3.15,121.2,-65,66.94
2.68,8.31,-34,3.15,121.2,-65,62.75
2.07,9.14,-34,0.71,8.64,-35,48.76
2.22,9.37,-33,1.62,8.31,-33,46.49
2.15,9.06,-31,2.0,7.81,-33,54.53
2.09,9.21,-31,2.25,7.78,-33,58.96
2.09,9.16,-33,2.61,7.55,-33,60.74
2.20,4.7,-31,2.77,3.85,-33,57.15
2.07,9.34,-34,2.34,278.6,-35,57.03
2.07,9.34,-34,2.34,131.8,-35,64.62
2.07,9.34,-34,2.34,69.83,-35,46.41
2.63,4.15,-34,2.33,127.1,-34,84.13
2.62,4.14,-34,2.61,124.6,-34,84.74
2.63,4.16,-36,3.15,121.2,-35,86.39
2.55,36.57,-35,2.53,142.1,-35,87.15
2.55,36.57,-35,2.53,263.5,-35,88.42
2.69,34.9,-23,2.55,135.6,-23,87.01
2.69,34.9,-23,2.55,252.6,-23,88.11
2.73,34.35,-23,2.71,132.4,-23,86.32
2.70,35.44,-17.3,2.50,15.56,-12,91.61

